email_id,sender,subject,body,timestamp,word_count,has_links,suspicious_links_count,urgency_indicators_count,suspicious_keywords_count,has_sender_spoofing,has_capitals_excessive,label
EMAIL_000490,help@applesupport-verify.net,Congratulations! You've Won a Prize,Congratulations! You've won $5000. Claim your prize: bit.ly/xalsml,2026-07-01T04:19:18.574699,8,1,1,3,3,1,0,phishing
EMAIL_000344,verify@micros0ft-account.ru,Your Package Delivery Failed,Click here immediately to verify your account before it gets suspended: bit.ly/ec26oa,2026-07-23T04:19:18.569111,12,1,1,2,2,1,0,phishing
EMAIL_000539,orders@store.com,Meeting Tomorrow at 2PM,"Hi, just wanted to follow up on our discussion. Looking forward to the meeting tomorrow.",2026-07-12T04:19:18.575696,15,0,0,1,0,0,0,legitimate
EMAIL_000120,admin@bank-security-check.xyz,Urgent: Verify Your Account,Congratulations! You've won $5000. Claim your prize: bit.ly/8xxl6g,2026-07-25T04:19:18.560106,8,1,3,5,5,0,0,phishing
EMAIL_000895,admin@project.com,Project Update - Q3 Results,Thank you for attending our webinar. Here's the recording link.,2026-07-27T04:19:18.582899,10,0,0,1,0,0,0,legitimate
EMAIL_000571,support@service.com,Team Lunch This Friday,Your subscription has been renewed. Thank you for your continued support.,2026-07-01T04:19:18.576332,11,0,0,1,0,0,0,legitimate
EMAIL_000672,admin@project.com,Password Changed Successfully,"Your password has been successfully changed. If this wasn't you, contact support.",2026-07-28T04:19:18.578309,12,0,0,1,0,0,0,legitimate
EMAIL_000697,admin@project.com,Welcome to Our Newsletter,Your subscription has been renewed. Thank you for your continued support.,2026-07-03T04:19:18.578841,11,0,0,0,0,0,0,legitimate
EMAIL_000844,newsletter@brand.com,New Feature Release Notes,Attached is the updated project timeline. Please review and provide feedback.,2026-07-18T04:19:18.581776,11,0,0,1,0,0,0,legitimate
EMAIL_000674,newsletter@brand.com,Team Lunch This Friday,Your subscription has been renewed. Thank you for your continued support.,2026-07-04T04:19:18.578336,11,0,0,0,0,0,0,legitimate
EMAIL_000158,security@google-account.tk,Congratulations! You've Won a Prize,Click here immediately to verify your account before it gets suspended: bit.ly/cj5exm,2026-07-06T04:19:18.564616,12,1,1,1,4,0,0,phishing
EMAIL_000185,support@paypa1-verify.com,Click Here to Confirm Your Password,We noticed unusual activity. Please confirm your password: bit.ly/dnote4,2026-07-04T04:19:18.565386,9,1,1,5,2,1,0,phishing
EMAIL_000711,newsletter@brand.com,Meeting Tomorrow at 2PM,Thank you for attending our webinar. Here's the recording link.,2026-07-11T04:19:18.579097,10,0,0,0,0,0,0,legitimate
EMAIL_000031,help@applesupport-verify.net,Click Here to Confirm Your Password,Your Microsoft account needs immediate attention: bit.ly/7p4udm,2026-07-05T04:19:18.558052,7,1,3,2,2,1,0,phishing
EMAIL_000161,admin@bank-security-check.xyz,Your Account Has Been Compromised,Amazon detected unauthorized access. Verify your account: bit.ly/3gkzop,2026-07-09T04:19:18.564729,8,1,1,1,1,1,0,phishing
EMAIL_000317,help@applesupport-verify.net,Bank Security Alert,We noticed unusual activity. Please confirm your password: bit.ly/urf0p6,2026-07-15T04:19:18.568499,9,1,2,4,1,1,0,phishing
EMAIL_000933,notifications@app.com,Your Reservation Confirmation,"Your password has been successfully changed. If this wasn't you, contact support.",2026-07-09T04:19:18.583680,12,0,0,1,1,0,0,legitimate
EMAIL_000057,help@applesupport-verify.net,Confirm Your Identity Now,Your Netflix subscription needs updating: bit.ly/a2t7xu,2026-07-16T04:19:18.558682,6,1,3,2,1,1,0,phishing
EMAIL_000113,admin@bank-security-check.xyz,Click Here to Confirm Your Password,Click here immediately to verify your account before it gets suspended: bit.ly/ad3qzy,2026-07-23T04:19:18.559953,12,1,1,3,3,1,0,phishing
EMAIL_000322,verify@micros0ft-account.ru,Click Here to Confirm Your Password,Congratulations! You've won $5000. Claim your prize: bit.ly/b5b8cz,2026-06-30T04:19:18.568579,8,1,1,5,5,1,0,phishing
EMAIL_000791,notifications@app.com,Password Changed Successfully,Thank you for attending our webinar. Here's the recording link.,2026-07-28T04:19:18.580730,10,0,0,0,0,0,0,legitimate
EMAIL_000209,noreply@amaz0n-security.com,Urgent: Verify Your Account,Your Microsoft account needs immediate attention: bit.ly/09a2zl,2026-07-05T04:19:18.565945,7,1,1,3,2,1,0,phishing
EMAIL_000442,support@paypa1-verify.com,Urgent: Verify Your Account,Your Microsoft account needs immediate attention: bit.ly/xc8rgh,2026-07-21T04:19:18.573474,7,1,2,4,2,1,0,phishing
EMAIL_000486,support@paypa1-verify.com,Action Required: Unusual Activity Detected,Confirm receipt of package: bit.ly/rkvsgf,2026-07-10T04:19:18.574596,5,1,2,5,1,0,0,phishing
EMAIL_000001,support@paypa1-verify.com,Your Package Delivery Failed,Your Netflix subscription needs updating: bit.ly/nse3di,2026-07-14T04:19:18.557298,6,1,3,1,0,1,0,phishing
EMAIL_000598,noreply@company.com,Meeting Tomorrow at 2PM,"Your password has been successfully changed. If this wasn't you, contact support.",2026-07-18T04:19:18.576907,12,0,0,1,0,0,0,legitimate
EMAIL_000756,notifications@app.com,Your Reservation Confirmation,The team meeting has been rescheduled to Friday at 3 PM. See you then!,2026-07-18T04:19:18.580003,14,0,0,1,1,0,0,legitimate
EMAIL_000347,security@google-account.tk,Refund Pending - Claim Now,IRS tax refund ready for pickup. Claim here: bit.ly/c7fhzy,2026-07-02T04:19:18.569199,9,1,3,5,1,1,0,phishing
EMAIL_000587,newsletter@brand.com,Password Changed Successfully,The team meeting has been rescheduled to Friday at 3 PM. See you then!,2026-07-05T04:19:18.576688,14,0,0,1,0,0,0,legitimate
EMAIL_000708,notifications@app.com,Your Order Confirmation,Attached is the updated project timeline. Please review and provide feedback.,2026-07-12T04:19:18.579051,11,0,0,0,1,0,0,legitimate
EMAIL_000183,noreply@amaz0n-security.com,Your Package Delivery Failed,Amazon detected unauthorized access. Verify your account: bit.ly/myueok,2026-07-06T04:19:18.565348,8,1,2,2,1,0,0,phishing
EMAIL_000272,admin@bank-security-check.xyz,Confirm Your Identity Now,Your Microsoft account needs immediate attention: bit.ly/vlv69i,2026-07-18T04:19:18.567419,7,1,1,4,1,0,0,phishing
EMAIL_000984,orders@store.com,Meeting Tomorrow at 2PM,The team meeting has been rescheduled to Friday at 3 PM. See you then!,2026-07-02T04:19:18.586048,14,0,0,1,0,0,0,legitimate
EMAIL_000181,noreply@amaz0n-security.com,Urgent: Verify Your Account,Click here immediately to verify your account before it gets suspended: bit.ly/l0mwps,2026-07-15T04:19:18.565290,12,1,3,3,3,0,0,phishing
EMAIL_000024,support@paypa1-verify.com,Update Payment Method Required,Congratulations! You've won $5000. Claim your prize: bit.ly/8qqk8i,2026-07-11T04:19:18.557889,8,1,1,5,4,1,0,phishing
EMAIL_000083,noreply@amaz0n-security.com,Refund Pending - Claim Now,PayPal security alert. Confirm your information: bit.ly/5l7p3l,2026-07-24T04:19:18.559271,7,1,2,2,2,0,0,phishing
EMAIL_000261,admin@bank-security-check.xyz,Confirm Your Identity Now,Click here immediately to verify your account before it gets suspended: bit.ly/7lpr9r,2026-07-28T04:19:18.567162,12,1,3,5,3,0,0,phishing
EMAIL_000585,support@service.com,Password Changed Successfully,We've improved our security. No action needed from you.,2026-07-07T04:19:18.576596,9,0,0,0,0,0,0,legitimate
