source_dataset,message_id,subject,body,combined_text,from_address,from_domain,reply_to_address,reply_to_domain,return_path_domain,message_id_domain,html_content,label
bundled_local,EMAIL_000490,Congratulations! You've Won a Prize,Congratulations! You've won $5000. Claim your prize: bit.ly/xalsml,Congratulations! You've Won a Prize Congratulations! You've won $5000. Claim your prize: bit.ly/xalsml,help@applesupport-verify.net,applesupport-verify.net,,,,,,1
bundled_local,EMAIL_000344,Your Package Delivery Failed,Click here immediately to verify your account before it gets suspended: bit.ly/ec26oa,Your Package Delivery Failed Click here immediately to verify your account before it gets suspended: bit.ly/ec26oa,verify@micros0ft-account.ru,micros0ft-account.ru,,,,,,1
bundled_local,EMAIL_000539,Meeting Tomorrow at 2PM,"Hi, just wanted to follow up on our discussion. Looking forward to the meeting tomorrow.","Meeting Tomorrow at 2PM Hi, just wanted to follow up on our discussion. Looking forward to the meeting tomorrow.",orders@store.com,store.com,,,,,,0
bundled_local,EMAIL_000120,Urgent: Verify Your Account,Congratulations! You've won $5000. Claim your prize: bit.ly/8xxl6g,Urgent: Verify Your Account Congratulations! You've won $5000. Claim your prize: bit.ly/8xxl6g,admin@bank-security-check.xyz,bank-security-check.xyz,,,,,,1
bundled_local,EMAIL_000895,Project Update - Q3 Results,Thank you for attending our webinar. Here's the recording link.,Project Update - Q3 Results Thank you for attending our webinar. Here's the recording link.,admin@project.com,project.com,,,,,,0
bundled_local,EMAIL_000571,Team Lunch This Friday,Your subscription has been renewed. Thank you for your continued support.,Team Lunch This Friday Your subscription has been renewed. Thank you for your continued support.,support@service.com,service.com,,,,,,0
bundled_local,EMAIL_000672,Password Changed Successfully,"Your password has been successfully changed. If this wasn't you, contact support.","Password Changed Successfully Your password has been successfully changed. If this wasn't you, contact support.",admin@project.com,project.com,,,,,,0
bundled_local,EMAIL_000697,Welcome to Our Newsletter,Your subscription has been renewed. Thank you for your continued support.,Welcome to Our Newsletter Your subscription has been renewed. Thank you for your continued support.,admin@project.com,project.com,,,,,,0
bundled_local,EMAIL_000844,New Feature Release Notes,Attached is the updated project timeline. Please review and provide feedback.,New Feature Release Notes Attached is the updated project timeline. Please review and provide feedback.,newsletter@brand.com,brand.com,,,,,,0
bundled_local,EMAIL_000158,Congratulations! You've Won a Prize,Click here immediately to verify your account before it gets suspended: bit.ly/cj5exm,Congratulations! You've Won a Prize Click here immediately to verify your account before it gets suspended: bit.ly/cj5exm,security@google-account.tk,google-account.tk,,,,,,1
bundled_local,EMAIL_000185,Click Here to Confirm Your Password,We noticed unusual activity. Please confirm your password: bit.ly/dnote4,Click Here to Confirm Your Password We noticed unusual activity. Please confirm your password: bit.ly/dnote4,support@paypa1-verify.com,paypa1-verify.com,,,,,,1
bundled_local,EMAIL_000711,Meeting Tomorrow at 2PM,Thank you for attending our webinar. Here's the recording link.,Meeting Tomorrow at 2PM Thank you for attending our webinar. Here's the recording link.,newsletter@brand.com,brand.com,,,,,,0
bundled_local,EMAIL_000031,Click Here to Confirm Your Password,Your Microsoft account needs immediate attention: bit.ly/7p4udm,Click Here to Confirm Your Password Your Microsoft account needs immediate attention: bit.ly/7p4udm,help@applesupport-verify.net,applesupport-verify.net,,,,,,1
bundled_local,EMAIL_000161,Your Account Has Been Compromised,Amazon detected unauthorized access. Verify your account: bit.ly/3gkzop,Your Account Has Been Compromised Amazon detected unauthorized access. Verify your account: bit.ly/3gkzop,admin@bank-security-check.xyz,bank-security-check.xyz,,,,,,1
bundled_local,EMAIL_000317,Bank Security Alert,We noticed unusual activity. Please confirm your password: bit.ly/urf0p6,Bank Security Alert We noticed unusual activity. Please confirm your password: bit.ly/urf0p6,help@applesupport-verify.net,applesupport-verify.net,,,,,,1
bundled_local,EMAIL_000933,Your Reservation Confirmation,"Your password has been successfully changed. If this wasn't you, contact support.","Your Reservation Confirmation Your password has been successfully changed. If this wasn't you, contact support.",notifications@app.com,app.com,,,,,,0
bundled_local,EMAIL_000057,Confirm Your Identity Now,Your Netflix subscription needs updating: bit.ly/a2t7xu,Confirm Your Identity Now Your Netflix subscription needs updating: bit.ly/a2t7xu,help@applesupport-verify.net,applesupport-verify.net,,,,,,1
bundled_local,EMAIL_000113,Click Here to Confirm Your Password,Click here immediately to verify your account before it gets suspended: bit.ly/ad3qzy,Click Here to Confirm Your Password Click here immediately to verify your account before it gets suspended: bit.ly/ad3qzy,admin@bank-security-check.xyz,bank-security-check.xyz,,,,,,1
bundled_local,EMAIL_000322,Click Here to Confirm Your Password,Congratulations! You've won $5000. Claim your prize: bit.ly/b5b8cz,Click Here to Confirm Your Password Congratulations! You've won $5000. Claim your prize: bit.ly/b5b8cz,verify@micros0ft-account.ru,micros0ft-account.ru,,,,,,1
bundled_local,EMAIL_000791,Password Changed Successfully,Thank you for attending our webinar. Here's the recording link.,Password Changed Successfully Thank you for attending our webinar. Here's the recording link.,notifications@app.com,app.com,,,,,,0
bundled_local,EMAIL_000209,Urgent: Verify Your Account,Your Microsoft account needs immediate attention: bit.ly/09a2zl,Urgent: Verify Your Account Your Microsoft account needs immediate attention: bit.ly/09a2zl,noreply@amaz0n-security.com,amaz0n-security.com,,,,,,1
bundled_local,EMAIL_000442,Urgent: Verify Your Account,Your Microsoft account needs immediate attention: bit.ly/xc8rgh,Urgent: Verify Your Account Your Microsoft account needs immediate attention: bit.ly/xc8rgh,support@paypa1-verify.com,paypa1-verify.com,,,,,,1
bundled_local,EMAIL_000486,Action Required: Unusual Activity Detected,Confirm receipt of package: bit.ly/rkvsgf,Action Required: Unusual Activity Detected Confirm receipt of package: bit.ly/rkvsgf,support@paypa1-verify.com,paypa1-verify.com,,,,,,1
bundled_local,EMAIL_000001,Your Package Delivery Failed,Your Netflix subscription needs updating: bit.ly/nse3di,Your Package Delivery Failed Your Netflix subscription needs updating: bit.ly/nse3di,support@paypa1-verify.com,paypa1-verify.com,,,,,,1
bundled_local,EMAIL_000598,Meeting Tomorrow at 2PM,"Your password has been successfully changed. If this wasn't you, contact support.","Meeting Tomorrow at 2PM Your password has been successfully changed. If this wasn't you, contact support.",noreply@company.com,company.com,,,,,,0
bundled_local,EMAIL_000756,Your Reservation Confirmation,The team meeting has been rescheduled to Friday at 3 PM. See you then!,Your Reservation Confirmation The team meeting has been rescheduled to Friday at 3 PM. See you then!,notifications@app.com,app.com,,,,,,0
bundled_local,EMAIL_000347,Refund Pending - Claim Now,IRS tax refund ready for pickup. Claim here: bit.ly/c7fhzy,Refund Pending - Claim Now IRS tax refund ready for pickup. Claim here: bit.ly/c7fhzy,security@google-account.tk,google-account.tk,,,,,,1
bundled_local,EMAIL_000587,Password Changed Successfully,The team meeting has been rescheduled to Friday at 3 PM. See you then!,Password Changed Successfully The team meeting has been rescheduled to Friday at 3 PM. See you then!,newsletter@brand.com,brand.com,,,,,,0
bundled_local,EMAIL_000708,Your Order Confirmation,Attached is the updated project timeline. Please review and provide feedback.,Your Order Confirmation Attached is the updated project timeline. Please review and provide feedback.,notifications@app.com,app.com,,,,,,0
bundled_local,EMAIL_000183,Your Package Delivery Failed,Amazon detected unauthorized access. Verify your account: bit.ly/myueok,Your Package Delivery Failed Amazon detected unauthorized access. Verify your account: bit.ly/myueok,noreply@amaz0n-security.com,amaz0n-security.com,,,,,,1
bundled_local,EMAIL_000272,Confirm Your Identity Now,Your Microsoft account needs immediate attention: bit.ly/vlv69i,Confirm Your Identity Now Your Microsoft account needs immediate attention: bit.ly/vlv69i,admin@bank-security-check.xyz,bank-security-check.xyz,,,,,,1
bundled_local,EMAIL_000984,Meeting Tomorrow at 2PM,The team meeting has been rescheduled to Friday at 3 PM. See you then!,Meeting Tomorrow at 2PM The team meeting has been rescheduled to Friday at 3 PM. See you then!,orders@store.com,store.com,,,,,,0
bundled_local,EMAIL_000181,Urgent: Verify Your Account,Click here immediately to verify your account before it gets suspended: bit.ly/l0mwps,Urgent: Verify Your Account Click here immediately to verify your account before it gets suspended: bit.ly/l0mwps,noreply@amaz0n-security.com,amaz0n-security.com,,,,,,1
bundled_local,EMAIL_000024,Update Payment Method Required,Congratulations! You've won $5000. Claim your prize: bit.ly/8qqk8i,Update Payment Method Required Congratulations! You've won $5000. Claim your prize: bit.ly/8qqk8i,support@paypa1-verify.com,paypa1-verify.com,,,,,,1
bundled_local,EMAIL_000083,Refund Pending - Claim Now,PayPal security alert. Confirm your information: bit.ly/5l7p3l,Refund Pending - Claim Now PayPal security alert. Confirm your information: bit.ly/5l7p3l,noreply@amaz0n-security.com,amaz0n-security.com,,,,,,1
bundled_local,EMAIL_000261,Confirm Your Identity Now,Click here immediately to verify your account before it gets suspended: bit.ly/7lpr9r,Confirm Your Identity Now Click here immediately to verify your account before it gets suspended: bit.ly/7lpr9r,admin@bank-security-check.xyz,bank-security-check.xyz,,,,,,1
bundled_local,EMAIL_000585,Password Changed Successfully,We've improved our security. No action needed from you.,Password Changed Successfully We've improved our security. No action needed from you.,support@service.com,service.com,,,,,,0
bundled_local,EMAIL_000010,Your Account Has Been Compromised,Confirm receipt of package: bit.ly/du522k,Your Account Has Been Compromised Confirm receipt of package: bit.ly/du522k,noreply@amaz0n-security.com,amaz0n-security.com,,,,,,1
bundled_local,EMAIL_000975,Meeting Tomorrow at 2PM,We've improved our security. No action needed from you.,Meeting Tomorrow at 2PM We've improved our security. No action needed from you.,support@service.com,service.com,,,,,,0
bundled_local,EMAIL_000194,Action Required: Unusual Activity Detected,Confirm receipt of package: bit.ly/azgwf0,Action Required: Unusual Activity Detected Confirm receipt of package: bit.ly/azgwf0,support@paypa1-verify.com,paypa1-verify.com,,,,,,1
bundled_local,EMAIL_000684,Monthly Report Attached,Thank you for your order! Your item will be shipped within 2 business days.,Monthly Report Attached Thank you for your order! Your item will be shipped within 2 business days.,newsletter@brand.com,brand.com,,,,,,0
bundled_local,EMAIL_000925,Your Order Confirmation,The team meeting has been rescheduled to Friday at 3 PM. See you then!,Your Order Confirmation The team meeting has been rescheduled to Friday at 3 PM. See you then!,noreply@company.com,company.com,,,,,,0
bundled_local,EMAIL_000635,Welcome to Our Newsletter,The team meeting has been rescheduled to Friday at 3 PM. See you then!,Welcome to Our Newsletter The team meeting has been rescheduled to Friday at 3 PM. See you then!,admin@project.com,project.com,,,,,,0
bundled_local,EMAIL_000462,Action Required: Unusual Activity Detected,IRS tax refund ready for pickup. Claim here: bit.ly/28ckzj,Action Required: Unusual Activity Detected IRS tax refund ready for pickup. Claim here: bit.ly/28ckzj,support@paypa1-verify.com,paypa1-verify.com,,,,,,1
bundled_local,EMAIL_000100,Confirm Your Identity Now,Your Netflix subscription needs updating: bit.ly/6xptoo,Confirm Your Identity Now Your Netflix subscription needs updating: bit.ly/6xptoo,help@applesupport-verify.net,applesupport-verify.net,,,,,,1
bundled_local,EMAIL_000738,Password Changed Successfully,Welcome to our subscriber community. You'll receive weekly updates on new features.,Password Changed Successfully Welcome to our subscriber community. You'll receive weekly updates on new features.,support@service.com,service.com,,,,,,0
bundled_local,EMAIL_000821,Welcome to Our Newsletter,Welcome to our subscriber community. You'll receive weekly updates on new features.,Welcome to Our Newsletter Welcome to our subscriber community. You'll receive weekly updates on new features.,newsletter@brand.com,brand.com,,,,,,0
bundled_local,EMAIL_000159,Click Here to Confirm Your Password,We noticed unusual activity. Please confirm your password: bit.ly/zufy01,Click Here to Confirm Your Password We noticed unusual activity. Please confirm your password: bit.ly/zufy01,noreply@amaz0n-security.com,amaz0n-security.com,,,,,,1
bundled_local,EMAIL_000366,Congratulations! You've Won a Prize,We noticed unusual activity. Please confirm your password: bit.ly/vhi0ni,Congratulations! You've Won a Prize We noticed unusual activity. Please confirm your password: bit.ly/vhi0ni,security@google-account.tk,google-account.tk,,,,,,1
bundled_local,EMAIL_000780,Team Lunch This Friday,Welcome to our subscriber community. You'll receive weekly updates on new features.,Team Lunch This Friday Welcome to our subscriber community. You'll receive weekly updates on new features.,admin@project.com,project.com,,,,,,0
bundled_local,EMAIL_000718,Monthly Report Attached,Your subscription has been renewed. Thank you for your continued support.,Monthly Report Attached Your subscription has been renewed. Thank you for your continued support.,support@service.com,service.com,,,,,,0
bundled_local,EMAIL_000188,Update Payment Method Required,PayPal security alert. Confirm your information: bit.ly/iq4vc8,Update Payment Method Required PayPal security alert. Confirm your information: bit.ly/iq4vc8,noreply@amaz0n-security.com,amaz0n-security.com,,,,,,1
bundled_local,EMAIL_000917,Monthly Report Attached,Welcome to our subscriber community. You'll receive weekly updates on new features.,Monthly Report Attached Welcome to our subscriber community. You'll receive weekly updates on new features.,notifications@app.com,app.com,,,,,,0
bundled_local,EMAIL_000315,Click Here to Confirm Your Password,Click here immediately to verify your account before it gets suspended: bit.ly/lxdpdf,Click Here to Confirm Your Password Click here immediately to verify your account before it gets suspended: bit.ly/lxdpdf,security@google-account.tk,google-account.tk,,,,,,1
bundled_local,EMAIL_000313,Your Package Delivery Failed,Click here immediately to verify your account before it gets suspended: bit.ly/hdkrb4,Your Package Delivery Failed Click here immediately to verify your account before it gets suspended: bit.ly/hdkrb4,admin@bank-security-check.xyz,bank-security-check.xyz,,,,,,1
bundled_local,EMAIL_000495,Your Package Delivery Failed,Confirm receipt of package: bit.ly/77ubfr,Your Package Delivery Failed Confirm receipt of package: bit.ly/77ubfr,verify@micros0ft-account.ru,micros0ft-account.ru,,,,,,1
bundled_local,EMAIL_000184,Action Required: Unusual Activity Detected,Confirm receipt of package: bit.ly/q1ycxf,Action Required: Unusual Activity Detected Confirm receipt of package: bit.ly/q1ycxf,noreply@amaz0n-security.com,amaz0n-security.com,,,,,,1
bundled_local,EMAIL_000526,Meeting Tomorrow at 2PM,Welcome to our subscriber community. You'll receive weekly updates on new features.,Meeting Tomorrow at 2PM Welcome to our subscriber community. You'll receive weekly updates on new features.,notifications@app.com,app.com,,,,,,0
bundled_local,EMAIL_000205,Confirm Your Identity Now,Confirm receipt of package: bit.ly/dmlpd6,Confirm Your Identity Now Confirm receipt of package: bit.ly/dmlpd6,help@applesupport-verify.net,applesupport-verify.net,,,,,,1
bundled_local,EMAIL_000063,Your Package Delivery Failed,Amazon detected unauthorized access. Verify your account: bit.ly/in88oz,Your Package Delivery Failed Amazon detected unauthorized access. Verify your account: bit.ly/in88oz,noreply@amaz0n-security.com,amaz0n-security.com,,,,,,1
bundled_local,EMAIL_000949,Meeting Tomorrow at 2PM,Your subscription has been renewed. Thank you for your continued support.,Meeting Tomorrow at 2PM Your subscription has been renewed. Thank you for your continued support.,noreply@company.com,company.com,,,,,,0
bundled_local,EMAIL_000110,Urgent: Verify Your Account,Your payment method has expired. Update it now: bit.ly/z0vov2,Urgent: Verify Your Account Your payment method has expired. Update it now: bit.ly/z0vov2,admin@bank-security-check.xyz,bank-security-check.xyz,,,,,,1
bundled_local,EMAIL_000146,Urgent: Verify Your Account,Amazon detected unauthorized access. Verify your account: bit.ly/5d3ini,Urgent: Verify Your Account Amazon detected unauthorized access. Verify your account: bit.ly/5d3ini,admin@bank-security-check.xyz,bank-security-check.xyz,,,,,,1
bundled_local,EMAIL_000111,Your Package Delivery Failed,IRS tax refund ready for pickup. Claim here: bit.ly/57cbsx,Your Package Delivery Failed IRS tax refund ready for pickup. Claim here: bit.ly/57cbsx,security@google-account.tk,google-account.tk,,,,,,1
bundled_local,EMAIL_000232,Your Package Delivery Failed,We noticed unusual activity. Please confirm your password: bit.ly/wz4l0f,Your Package Delivery Failed We noticed unusual activity. Please confirm your password: bit.ly/wz4l0f,support@paypa1-verify.com,paypa1-verify.com,,,,,,1
bundled_local,EMAIL_000004,Your Package Delivery Failed,Confirm receipt of package: bit.ly/i3ajis,Your Package Delivery Failed Confirm receipt of package: bit.ly/i3ajis,verify@micros0ft-account.ru,micros0ft-account.ru,,,,,,1
bundled_local,EMAIL_000931,Welcome to Our Newsletter,Thank you for your order! Your item will be shipped within 2 business days.,Welcome to Our Newsletter Thank you for your order! Your item will be shipped within 2 business days.,notifications@app.com,app.com,,,,,,0
bundled_local,EMAIL_000985,Your Reservation Confirmation,"Hi, just wanted to follow up on our discussion. Looking forward to the meeting tomorrow.","Your Reservation Confirmation Hi, just wanted to follow up on our discussion. Looking forward to the meeting tomorrow.",noreply@company.com,company.com,,,,,,0
bundled_local,EMAIL_000562,Your Reservation Confirmation,Thank you for your order! Your item will be shipped within 2 business days.,Your Reservation Confirmation Thank you for your order! Your item will be shipped within 2 business days.,orders@store.com,store.com,,,,,,0
bundled_local,EMAIL_000978,Your Order Confirmation,"Your password has been successfully changed. If this wasn't you, contact support.","Your Order Confirmation Your password has been successfully changed. If this wasn't you, contact support.",support@service.com,service.com,,,,,,0
bundled_local,EMAIL_000237,Your Package Delivery Failed,Amazon detected unauthorized access. Verify your account: bit.ly/99qko9,Your Package Delivery Failed Amazon detected unauthorized access. Verify your account: bit.ly/99qko9,support@paypa1-verify.com,paypa1-verify.com,,,,,,1
bundled_local,EMAIL_000201,Confirm Your Identity Now,Your Netflix subscription needs updating: bit.ly/50gj0d,Confirm Your Identity Now Your Netflix subscription needs updating: bit.ly/50gj0d,support@paypa1-verify.com,paypa1-verify.com,,,,,,1
bundled_local,EMAIL_000427,Your Account Has Been Compromised,Click here immediately to verify your account before it gets suspended: bit.ly/zc6sxl,Your Account Has Been Compromised Click here immediately to verify your account before it gets suspended: bit.ly/zc6sxl,verify@micros0ft-account.ru,micros0ft-account.ru,,,,,,1
bundled_local,EMAIL_000050,Action Required: Unusual Activity Detected,Amazon detected unauthorized access. Verify your account: bit.ly/yrpqqp,Action Required: Unusual Activity Detected Amazon detected unauthorized access. Verify your account: bit.ly/yrpqqp,noreply@amaz0n-security.com,amaz0n-security.com,,,,,,1
bundled_local,EMAIL_000219,Click Here to Confirm Your Password,Click here immediately to verify your account before it gets suspended: bit.ly/k31n6n,Click Here to Confirm Your Password Click here immediately to verify your account before it gets suspended: bit.ly/k31n6n,support@paypa1-verify.com,paypa1-verify.com,,,,,,1
bundled_local,EMAIL_000299,Update Payment Method Required,Your payment method has expired. Update it now: bit.ly/73w24h,Update Payment Method Required Your payment method has expired. Update it now: bit.ly/73w24h,noreply@amaz0n-security.com,amaz0n-security.com,,,,,,1
bundled_local,EMAIL_000117,Your Account Has Been Compromised,We noticed unusual activity. Please confirm your password: bit.ly/h7r3vt,Your Account Has Been Compromised We noticed unusual activity. Please confirm your password: bit.ly/h7r3vt,support@paypa1-verify.com,paypa1-verify.com,,,,,,1
bundled_local,EMAIL_000292,Refund Pending - Claim Now,We noticed unusual activity. Please confirm your password: bit.ly/20f90a,Refund Pending - Claim Now We noticed unusual activity. Please confirm your password: bit.ly/20f90a,noreply@amaz0n-security.com,amaz0n-security.com,,,,,,1
bundled_local,EMAIL_000238,Bank Security Alert,PayPal security alert. Confirm your information: bit.ly/2e3hkr,Bank Security Alert PayPal security alert. Confirm your information: bit.ly/2e3hkr,verify@micros0ft-account.ru,micros0ft-account.ru,,,,,,1
bundled_local,EMAIL_000244,Your Package Delivery Failed,Your Netflix subscription needs updating: bit.ly/blvix9,Your Package Delivery Failed Your Netflix subscription needs updating: bit.ly/blvix9,security@google-account.tk,google-account.tk,,,,,,1
bundled_local,EMAIL_000091,Click Here to Confirm Your Password,PayPal security alert. Confirm your information: bit.ly/9604np,Click Here to Confirm Your Password PayPal security alert. Confirm your information: bit.ly/9604np,noreply@amaz0n-security.com,amaz0n-security.com,,,,,,1
bundled_local,EMAIL_000621,Meeting Tomorrow at 2PM,Here's the monthly report with our latest metrics and performance analysis.,Meeting Tomorrow at 2PM Here's the monthly report with our latest metrics and performance analysis.,team@workplace.com,workplace.com,,,,,,0
bundled_local,EMAIL_000435,Congratulations! You've Won a Prize,We noticed unusual activity. Please confirm your password: bit.ly/z75lj0,Congratulations! You've Won a Prize We noticed unusual activity. Please confirm your password: bit.ly/z75lj0,security@google-account.tk,google-account.tk,,,,,,1
bundled_local,EMAIL_000930,Your Order Confirmation,Welcome to our subscriber community. You'll receive weekly updates on new features.,Your Order Confirmation Welcome to our subscriber community. You'll receive weekly updates on new features.,notifications@app.com,app.com,,,,,,0
